-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2020 in LST
Location: Latitude  0.0   Longitude -75.65 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 229.89 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
CLOUD_AMT             CERES SYN1deg Cloud Amount (%) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
-END HEADER-
YEAR,MO,DY,HR,T2M,RH2M,WS10M,CLOUD_AMT,ALLSKY_SFC_SW_DWN
2020,1,5,0,24.0,100.0,0.85,4.01,0.0
2020,1,5,1,23.77,100.0,0.85,4.94,0.0
2020,1,5,2,23.57,100.0,0.89,2.16,0.0
2020,1,5,3,23.36,100.0,0.88,14.21,0.0
2020,1,5,4,23.14,100.0,0.95,13.59,0.0
2020,1,5,5,22.93,100.0,1.15,15.74,0.0
2020,1,5,6,23.16,99.36,1.02,8.65,47.25
2020,1,5,7,25.03,91.06,0.63,0.81,271.23
2020,1,5,8,26.4,82.62,0.92,0.31,512.0
2020,1,5,9,27.29,77.79,1.03,0.15,721.6
2020,1,5,10,28.25,73.93,1.02,0.0,879.28
2020,1,5,11,28.97,71.46,0.96,0.15,962.35
2020,1,5,12,29.75,69.45,0.9,0.31,973.15
2020,1,5,13,30.09,69.07,0.86,1.75,907.53
2020,1,5,14,30.05,70.27,0.81,25.0,707.7
2020,1,5,15,29.67,73.0,0.76,58.01,407.73
2020,1,5,16,28.96,79.27,0.68,69.75,209.8
2020,1,5,17,27.95,86.01,0.72,85.19,48.5
2020,1,5,18,26.85,90.3,0.89,99.88,0.0
2020,1,5,19,26.25,92.75,0.81,97.77,0.0
2020,1,5,20,25.77,94.34,0.87,93.4,0.0
2020,1,5,21,25.7,92.21,1.07,94.5,0.0
2020,1,5,22,25.51,91.71,0.93,79.3,0.0
2020,1,5,23,25.21,92.47,0.82,49.33,0.0
2020,1,6,0,24.99,92.6,0.73,28.12,0.0
2020,1,6,1,24.73,93.04,0.63,12.36,0.0
2020,1,6,2,24.47,94.26,0.52,11.49,0.0
2020,1,6,3,24.3,94.72,0.46,10.07,0.0
2020,1,6,4,24.16,95.41,0.47,8.65,0.0
2020,1,6,5,24.0,96.13,0.54,7.23,0.0
2020,1,6,6,23.93,96.67,0.56,5.49,48.9
2020,1,6,7,24.61,92.19,0.59,4.38,268.4
2020,1,6,8,25.72,85.08,0.94,2.96,508.6
2020,1,6,9,27.04,78.53,1.13,1.54,717.65
2020,1,6,10,28.29,73.09,1.19,0.12,876.28
2020,1,6,11,29.13,69.87,1.22,0.62,964.28
2020,1,6,12,29.61,68.67,1.21,4.63,965.65
2020,1,6,13,29.82,68.8,1.16,39.9,838.62
2020,1,6,14,29.76,70.05,1.08,26.73,712.85
2020,1,6,15,29.38,72.84,0.97,21.48,530.1
2020,1,6,16,28.8,77.37,0.85,32.45,291.42
2020,1,6,17,27.77,84.6,0.72,42.2,85.53
2020,1,6,18,26.49,90.58,0.79,56.92,0.0
2020,1,6,19,25.92,92.32,0.93,62.23,0.0
2020,1,6,20,25.56,93.57,0.85,40.0,0.0
2020,1,6,21,25.19,94.82,0.88,48.5,0.0
2020,1,6,22,24.88,95.46,0.81,35.7,0.0
2020,1,6,23,24.47,96.57,0.69,49.87,0.0
2020,1,7,0,23.96,98.27,0.66,7.77,0.0
2020,1,7,1,23.53,99.66,0.95,2.16,0.0
2020,1,7,2,23.1,100.0,1.1,28.91,0.0
2020,1,7,3,22.73,100.0,0.97,4.32,0.0
2020,1,7,4,22.58,100.0,1.0,10.45,0.0
2020,1,7,5,22.39,100.0,1.04,3.7,0.0
2020,1,7,6,22.72,99.45,0.89,2.97,45.9
2020,1,7,7,24.67,89.48,1.15,2.24,263.48
2020,1,7,8,26.23,82.14,1.37,1.51,505.6
2020,1,7,9,27.43,77.0,1.5,0.77,715.6
2020,1,7,10,28.41,73.42,1.51,0.04,874.85
2020,1,7,11,29.11,70.94,1.48,0.62,963.53
2020,1,7,12,29.47,69.46,1.44,23.21,941.75
2020,1,7,13,29.55,69.26,1.37,11.69,880.28
2020,1,7,14,29.43,70.58,1.28,13.98,736.6
2020,1,7,15,29.08,73.17,1.15,14.55,542.38
2020,1,7,16,28.48,77.51,0.96,20.11,308.15
2020,1,7,17,27.49,83.84,0.8,26.7,91.5
2020,1,7,18,26.11,90.81,0.77,29.9,0.0
2020,1,7,19,25.36,93.93,0.78,30.64,0.0
2020,1,7,20,24.97,94.89,0.93,12.16,0.0
2020,1,7,21,24.62,96.03,0.8,22.81,0.0
2020,1,7,22,24.14,97.62,0.76,6.12,0.0
2020,1,7,23,23.63,99.15,0.7,11.57,0.0
2020,1,8,0,23.11,100.0,0.8,4.67,0.0
2020,1,8,1,22.66,100.0,0.95,0.52,0.0
2020,1,8,2,22.3,100.0,0.91,2.48,0.0
2020,1,8,3,22.09,100.0,0.84,0.93,0.0
2020,1,8,4,21.89,100.0,0.86,0.99,0.0
2020,1,8,5,21.72,100.0,0.85,1.05,0.0
2020,1,8,6,22.04,99.58,0.86,1.11,47.25
2020,1,8,7,24.19,89.16,0.86,1.17,270.33
2020,1,8,8,26.11,80.61,1.31,1.23,513.4
2020,1,8,9,27.41,75.7,1.44,6.54,714.5
2020,1,8,10,28.39,72.31,1.43,10.0,852.08
2020,1,8,11,29.11,69.93,1.36,3.4,967.4
2020,1,8,12,29.53,68.42,1.24,1.23,982.08
2020,1,8,13,29.65,67.85,1.07,0.85,916.9
2020,1,8,14,29.51,68.57,0.85,0.62,776.9
2020,1,8,15,29.2,71.07,0.57,1.54,574.7
2020,1,8,16,28.72,75.89,0.31,2.07,338.83
2020,1,8,17,28.19,83.66,0.4,2.6,102.32
2020,1,8,18,27.21,86.32,0.64,3.12,0.0
2020,1,8,19,26.44,86.21,0.99,7.84,0.0
2020,1,8,20,25.68,88.67,1.22,23.23,0.0
2020,1,8,21,25.04,91.17,1.34,34.93,0.0
2020,1,8,22,24.56,93.07,1.34,42.92,0.0
2020,1,8,23,24.26,94.26,1.18,60.9,0.0
2020,1,9,0,24.02,95.1,1.04,41.03,0.0
2020,1,9,1,23.64,97.04,1.04,65.17,0.0
2020,1,9,2,23.28,98.82,1.03,88.42,0.0
2020,1,9,3,23.02,100.0,1.06,99.56,0.0
2020,1,9,4,22.88,100.0,1.06,99.1,0.0
2020,1,9,5,22.83,100.0,1.02,99.06,0.0
2020,1,9,6,23.04,99.12,0.79,100.0,9.75
2020,1,9,7,24.39,92.88,0.48,100.0,85.2
2020,1,9,8,25.79,85.26,0.55,99.78,159.7
2020,1,9,9,26.87,79.06,0.81,100.0,240.95
2020,1,9,10,27.74,75.0,0.95,98.85,289.15
2020,1,9,11,28.6,71.71,1.02,97.98,578.12
2020,1,9,12,29.26,69.63,0.98,97.53,550.03
2020,1,9,13,29.58,68.63,0.89,94.31,530.45
2020,1,9,14,29.56,69.21,0.74,82.56,466.95
2020,1,9,15,29.28,71.59,0.5,59.79,421.7
2020,1,9,16,28.8,76.52,0.2,73.55,226.7
2020,1,9,17,28.12,85.05,0.25,88.9,63.65
2020,1,9,18,27.22,87.3,0.36,99.46,0.0
2020,1,9,19,26.56,87.11,0.6,77.64,0.0
2020,1,9,20,26.03,88.28,0.75,67.26,0.0
2020,1,9,21,25.55,90.12,0.81,51.52,0.0
2020,1,9,22,25.18,91.49,0.82,54.57,0.0
2020,1,9,23,24.95,92.13,0.74,61.6,0.0
2020,1,10,0,24.73,92.68,0.64,78.19,0.0
2020,1,10,1,24.56,92.81,0.57,82.34,0.0
2020,1,10,2,24.42,92.74,0.49,91.17,0.0
2020,1,10,3,24.32,92.5,0.42,98.43,0.0
2020,1,10,4,24.17,92.56,0.41,97.77,0.0
2020,1,10,5,23.85,93.58,0.52,94.68,0.0
2020,1,10,6,23.56,95.99,0.64,92.02,27.6
2020,1,10,7,24.88,90.06,0.28,85.06,160.8
2020,1,10,8,26.13,82.26,0.61,80.1,327.77
2020,1,10,9,26.91,78.6,1.03,75.58,606.6
2020,1,10,10,27.69,74.98,1.32,41.64,817.53
2020,1,10,11,28.27,70.94,1.46,18.3,913.45
2020,1,10,12,28.42,69.79,1.34,34.79,880.97
2020,1,10,13,28.3,71.06,1.09,34.1,780.03
2020,1,10,14,28.1,73.58,0.82,45.52,607.35
2020,1,10,15,27.89,76.05,0.59,73.48,362.33
2020,1,10,16,27.52,80.34,0.33,78.81,194.12
2020,1,10,17,26.91,88.14,0.33,89.33,43.28
2020,1,10,18,26.2,88.84,0.56,99.71,0.0
2020,1,10,19,25.63,89.29,0.86,99.65,0.0
2020,1,10,20,25.17,90.97,0.94,98.89,0.0
2020,1,10,21,24.98,91.12,0.8,98.94,0.0
2020,1,10,22,24.83,91.25,0.62,99.5,0.0
2020,1,10,23,24.56,92.31,0.57,98.95,0.0
2020,1,11,0,24.2,93.96,0.65,99.7,0.0
2020,1,11,1,23.76,95.94,0.82,99.63,0.0
2020,1,11,2,23.27,98.13,1.02,99.69,0.0
2020,1,11,3,22.91,99.58,1.12,99.68,0.0
2020,1,11,4,22.77,99.69,1.11,99.69,0.0
2020,1,11,5,22.77,98.86,1.03,99.82,0.0
2020,1,11,6,22.95,97.87,0.81,100.0,9.4
2020,1,11,7,24.04,96.02,0.36,99.84,71.07
2020,1,11,8,25.42,89.12,0.4,98.99,142.1
2020,1,11,9,26.79,78.93,0.87,97.39,279.73
2020,1,11,10,27.56,75.28,1.13,98.46,444.88
2020,1,11,11,27.97,74.11,1.18,99.01,599.25
2020,1,11,12,28.01,75.22,0.95,98.92,438.67
2020,1,11,13,27.99,76.84,0.74,98.36,329.95
2020,1,11,14,27.76,79.69,0.52,99.44,213.25
2020,1,11,15,27.46,83.52,0.32,98.65,188.7
2020,1,11,16,27.08,88.21,0.14,99.38,110.18
2020,1,11,17,26.5,94.39,0.08,100.0,31.98
2020,1,11,18,26.07,94.44,0.21,99.68,0.0
2020,1,11,19,25.76,92.78,0.53,99.69,0.0
2020,1,11,20,25.16,94.96,0.87,99.69,0.0
2020,1,11,21,24.6,96.97,1.06,97.91,0.0
2020,1,11,22,24.39,97.02,1.03,99.59,0.0
2020,1,11,23,24.31,96.52,0.91,99.51,0.0
2020,1,12,0,23.86,97.67,1.06,98.82,0.0
2020,1,12,1,23.27,99.38,1.26,99.42,0.0
2020,1,12,2,23.01,99.68,1.23,99.56,0.0
2020,1,12,3,22.97,99.15,1.17,99.59,0.0
2020,1,12,4,23.22,97.45,0.89,99.57,0.0
2020,1,12,5,23.36,96.34,0.56,99.62,0.0
2020,1,12,6,23.39,95.84,0.32,99.38,20.25
2020,1,12,7,24.09,97.87,0.04,98.83,120.4
2020,1,12,8,24.95,94.1,0.46,97.75,252.6
2020,1,12,9,25.96,85.08,0.8,95.32,434.02
2020,1,12,10,27.29,75.99,1.25,98.14,564.58
2020,1,12,11,28.0,71.75,1.48,91.25,632.42
2020,1,12,12,28.27,70.32,1.44,90.75,578.55
2020,1,12,13,28.26,71.31,1.22,87.9,483.9
2020,1,12,14,27.93,74.66,0.92,90.67,422.2
2020,1,12,15,27.61,78.0,0.69,92.29,313.98
2020,1,12,16,27.16,82.18,0.52,94.2,168.2
2020,1,12,17,26.35,89.49,0.41,99.12,43.7
2020,1,12,18,25.2,95.66,0.54,99.61,0.0
2020,1,12,19,24.5,97.5,0.73,99.66,0.0
2020,1,12,20,24.14,98.46,0.76,98.94,0.0
2020,1,12,21,23.8,99.49,0.66,98.86,0.0
2020,1,12,22,23.45,100.0,0.97,99.12,0.0
2020,1,12,23,23.15,100.0,1.17,99.61,0.0
2020,1,13,0,22.93,100.0,1.1,99.55,0.0
2020,1,13,1,22.8,100.0,0.93,95.98,0.0
2020,1,13,2,22.73,100.0,0.87,95.81,0.0
2020,1,13,3,22.54,100.0,0.87,97.34,0.0
2020,1,13,4,22.32,100.0,0.91,86.17,0.0
2020,1,13,5,22.11,100.0,1.12,90.91,0.0
2020,1,13,6,22.35,99.6,0.93,74.83,29.08
2020,1,13,7,23.85,97.23,0.49,57.8,194.27
2020,1,13,8,25.3,91.04,0.24,44.07,406.62
2020,1,13,9,26.9,78.57,0.84,24.34,671.17
2020,1,13,10,27.9,71.39,1.43,34.18,748.25
2020,1,13,11,28.52,68.88,1.51,64.54,835.35
2020,1,13,12,28.72,68.87,1.36,57.18,737.85
2020,1,13,13,28.92,68.66,1.25,76.12,646.42
2020,1,13,14,28.7,70.57,1.01,73.68,522.2
2020,1,13,15,28.46,72.8,0.78,77.81,367.45
2020,1,13,16,28.04,76.47,0.5,84.56,199.07
2020,1,13,17,27.38,84.79,0.39,92.21,59.15
2020,1,13,18,26.29,90.86,0.71,99.39,0.0
2020,1,13,19,25.31,93.01,1.18,86.88,0.0
2020,1,13,20,24.56,95.09,1.33,69.56,0.0
2020,1,13,21,24.09,96.57,1.33,69.22,0.0
2020,1,13,22,23.75,97.69,1.23,88.17,0.0
2020,1,13,23,23.5,98.78,1.14,95.43,0.0
2020,1,14,0,23.35,99.39,1.08,91.22,0.0
2020,1,14,1,23.51,97.82,0.84,89.89,0.0
2020,1,14,2,23.76,95.88,0.34,90.49,0.0
2020,1,14,3,23.72,95.26,0.26,88.14,0.0
2020,1,14,4,23.27,97.36,0.69,90.89,0.0
2020,1,14,5,22.83,99.39,0.95,93.0,0.0
2020,1,14,6,22.83,98.2,0.95,72.06,30.85
2020,1,14,7,24.41,93.84,0.41,52.73,207.9
2020,1,14,8,26.13,83.85,0.64,37.28,437.67
2020,1,14,9,27.47,76.02,0.91,45.7,618.4
2020,1,14,10,28.33,71.49,1.08,61.65,657.03
2020,1,14,11,28.96,68.68,1.18,35.95,884.78
2020,1,14,12,29.29,67.13,1.19,36.38,873.6
2020,1,14,13,29.36,66.83,1.13,92.15,717.85
2020,1,14,14,29.17,68.37,1.02,43.93,645.38
2020,1,14,15,28.82,71.08,0.87,49.82,450.33
2020,1,14,16,28.29,75.9,0.56,46.96,260.62
2020,1,14,17,27.59,84.71,0.39,43.19,89.68
2020,1,14,18,26.78,88.88,0.54,35.06,0.0
2020,1,14,19,26.27,88.53,0.72,22.82,0.0
2020,1,14,20,25.56,90.45,1.05,23.71,0.0
2020,1,14,21,24.69,94.03,1.3,24.54,0.0
2020,1,14,22,24.15,95.39,0.99,37.89,0.0
2020,1,14,23,23.97,96.11,0.71,32.36,0.0
2020,1,15,0,23.77,97.0,0.68,43.72,0.0
2020,1,15,1,23.58,97.47,0.82,71.25,0.0
2020,1,15,2,23.38,98.08,0.9,93.19,0.0
2020,1,15,3,23.08,99.39,1.02,97.9,0.0
2020,1,15,4,22.69,100.0,1.17,98.8,0.0
2020,1,15,5,22.47,100.0,1.24,99.49,0.0
2020,1,15,6,22.77,99.66,1.03,100.0,14.62
2020,1,15,7,24.56,91.76,0.5,100.0,97.22
2020,1,15,8,25.96,84.03,0.6,99.5,189.18
2020,1,15,9,26.76,80.36,0.7,97.64,312.8
2020,1,15,10,27.5,77.48,0.76,89.68,520.35
2020,1,15,11,28.4,74.24,0.79,85.0,629.1
2020,1,15,12,28.94,72.19,0.78,90.87,684.9
2020,1,15,13,29.07,72.23,0.74,80.37,649.2
2020,1,15,14,28.95,73.55,0.66,75.33,517.92
2020,1,15,15,28.5,77.56,0.48,69.3,393.85
2020,1,15,16,28.07,82.43,0.35,49.73,232.38
2020,1,15,17,27.34,90.01,0.3,29.15,82.68
2020,1,15,18,26.52,93.58,0.59,0.62,0.0
2020,1,15,19,25.96,93.23,0.87,1.23,0.0
2020,1,15,20,25.41,95.13,1.03,7.64,0.0
2020,1,15,21,24.84,97.5,1.16,18.08,0.0
2020,1,15,22,24.41,99.17,1.19,23.96,0.0
2020,1,15,23,24.21,99.43,1.16,37.13,0.0
2020,1,16,0,24.08,99.23,1.1,73.17,0.0
2020,1,16,1,23.94,98.9,1.05,71.85,0.0
2020,1,16,2,23.8,98.54,1.01,79.86,0.0
2020,1,16,3,23.82,97.39,0.86,98.74,0.0
2020,1,16,4,23.91,96.1,0.62,99.03,0.0
2020,1,16,5,23.83,95.53,0.53,99.68,0.0
2020,1,16,6,23.75,94.8,0.54,100.0,12.6
2020,1,16,7,24.63,97.15,0.28,99.5,91.25
2020,1,16,8,26.2,88.1,0.39,98.92,177.65
2020,1,16,9,27.83,76.47,0.62,96.75,361.65
2020,1,16,10,28.81,70.89,0.64,94.35,519.4
2020,1,16,11,29.44,68.16,0.54,87.05,646.12
2020,1,16,12,29.81,66.8,0.46,81.72,567.9
2020,1,16,13,29.91,66.6,0.45,79.63,519.83
2020,1,16,14,29.75,68.11,0.4,71.78,460.85
2020,1,16,15,29.3,71.51,0.29,87.88,240.45
2020,1,16,16,28.78,76.26,0.16,90.75,145.4
2020,1,16,17,28.03,85.65,0.19,94.05,51.3
2020,1,16,18,27.4,85.99,0.44,100.0,0.0
2020,1,16,19,26.77,86.36,0.65,98.3,0.0
2020,1,16,20,26.4,86.39,0.77,95.31,0.0
2020,1,16,21,26.16,86.81,0.74,86.76,0.0
2020,1,16,22,25.74,88.4,0.79,71.01,0.0
2020,1,16,23,25.2,89.72,0.89,67.63,0.0
2020,1,17,0,24.58,92.83,1.03,84.12,0.0
2020,1,17,1,23.98,96.04,1.1,80.31,0.0
2020,1,17,2,23.64,97.99,0.96,98.9,0.0
2020,1,17,3,23.51,98.78,0.97,99.8,0.0
2020,1,17,4,23.4,99.21,0.9,99.79,0.0
2020,1,17,5,23.27,99.67,0.85,99.82,0.0
2020,1,17,6,23.48,98.74,0.74,99.79,12.75
2020,1,17,7,24.99,93.93,0.65,99.65,87.57
2020,1,17,8,26.41,89.94,0.96,98.92,181.8
2020,1,17,9,27.64,84.17,1.25,99.22,271.45
2020,1,17,10,28.6,78.32,1.31,98.22,402.0
2020,1,17,11,29.08,74.62,1.33,99.37,455.02
2020,1,17,12,29.07,74.38,1.28,96.08,520.15
2020,1,17,13,29.1,74.18,1.29,89.63,476.42
2020,1,17,14,29.03,74.16,1.21,91.16,366.73
2020,1,17,15,28.81,75.35,1.05,91.4,238.35
2020,1,17,16,28.3,78.72,0.78,93.86,135.57
2020,1,17,17,27.42,85.87,0.49,95.48,44.92
2020,1,17,18,26.12,94.59,0.71,99.23,0.0
2020,1,17,19,25.32,96.32,0.95,99.39,0.0
2020,1,17,20,24.89,96.87,1.01,96.04,0.0
2020,1,17,21,24.51,97.73,1.03,88.52,0.0
2020,1,17,22,24.21,98.77,0.87,99.33,0.0
2020,1,17,23,24.19,98.63,0.62,99.01,0.0
2020,1,18,0,24.09,98.72,0.54,99.12,0.0
2020,1,18,1,23.9,98.96,0.62,99.51,0.0
2020,1,18,2,23.69,99.3,0.56,99.14,0.0
2020,1,18,3,23.57,99.22,0.62,99.15,0.0
2020,1,18,4,23.43,99.19,0.73,99.25,0.0
2020,1,18,5,23.29,99.33,0.75,99.61,0.0
2020,1,18,6,23.49,98.85,0.65,95.38,20.42
2020,1,18,7,24.39,96.73,0.51,88.17,133.43
2020,1,18,8,25.37,94.03,0.4,82.0,292.42
2020,1,18,9,26.55,86.36,0.51,93.01,450.4
2020,1,18,10,27.97,76.35,0.17,96.02,493.48
2020,1,18,11,28.77,71.98,0.18,99.23,450.52
2020,1,18,12,29.02,71.78,0.37,91.56,643.55
2020,1,18,13,29.12,72.23,0.45,80.09,638.9
2020,1,18,14,29.08,73.24,0.42,85.65,570.62
2020,1,18,15,28.67,76.14,0.34,67.68,331.95
2020,1,18,16,28.09,80.45,0.32,74.38,184.7
2020,1,18,17,27.34,87.16,0.27,81.5,59.5
2020,1,18,18,26.5,93.44,0.54,87.42,0.0
2020,1,18,19,25.96,95.38,0.79,95.65,0.0
2020,1,18,20,25.61,96.27,0.82,95.24,0.0
2020,1,18,21,25.31,97.04,0.81,99.33,0.0
2020,1,18,22,25.09,97.42,0.75,99.55,0.0
2020,1,18,23,24.88,98.25,0.67,99.4,0.0
2020,1,19,0,24.74,98.44,0.64,98.41,0.0
2020,1,19,1,24.67,98.25,0.6,98.8,0.0
2020,1,19,2,24.62,97.91,0.54,92.07,0.0
2020,1,19,3,24.55,97.78,0.48,94.59,0.0
2020,1,19,4,24.52,97.51,0.37,97.12,0.0
2020,1,19,5,24.48,97.31,0.47,99.87,0.0
2020,1,19,6,24.46,97.1,0.52,100.0,6.32
2020,1,19,7,24.75,96.63,0.39,100.0,55.58
2020,1,19,8,25.54,91.7,0.52,99.74,103.75
2020,1,19,9,26.09,87.87,0.71,99.44,180.75
2020,1,19,10,26.62,84.3,0.75,97.98,264.7
2020,1,19,11,27.14,81.35,0.74,99.04,238.0
2020,1,19,12,27.57,79.36,0.73,98.93,199.43
2020,1,19,13,27.81,78.63,0.73,99.34,196.45
2020,1,19,14,27.8,79.13,0.76,99.28,101.43
2020,1,19,15,27.51,80.95,0.77,100.0,106.45
2020,1,19,16,26.98,84.15,0.68,100.0,68.62
2020,1,19,17,26.26,88.91,0.56,100.0,27.27
2020,1,19,18,25.36,94.36,0.59,100.0,0.0
2020,1,19,19,24.83,95.89,0.74,100.0,0.0
2020,1,19,20,24.55,96.12,0.75,100.0,0.0
2020,1,19,21,24.23,97.03,0.6,100.0,0.0
